 Shannon T 	  My family loved it! My 8-year-old is now completely obsessed with Batman Legos!
 Jason H 	  "The LEGO Batman Movie" is not just another kids film, and if you saw "The LEGO Movie" from a few years back, you know what you're about to get! It's well thought out, unbelievably silly and full of energy, and is loaded with life lessons (such as dealing with parental loss, or the not so simple blurred lines between good and bad) all making for a super fun and engaging cinematic experience. The animation is stunningly beautiful and exciting, and the riffs on the Batman comics and films over the years are the cherry on top (the way they look at the 60s Batman TV Series like it's some sort of bad drug trip is one of the funniest things). "The LEGO Batman Movie" is highly entertaining, and a perfect example on how to make a kids film about a toy brand without just focusing on selling the consumer something when it's all said and done. It's fun, and productive! Just like the toys themselves.
 Jack W 	  Self-referential, relentlessly entertaining and hilarious from start to finish.
 Josh G 	  it was OK was expecting a little more..
 Richard J 	  Had its funny parts but dragged on way too long
 Winter D 	  The movie was so funny i almost died of laughter. Love it You must see it before its gone.
 Dhamar M 	  Feels like a parody and it has its moments. But overall it's disappointing.
 Tiger L 	  Extremely entertaining, hilarious, original jokes, & possibly the funniest Batman movie ever !!!!!! 8.5/10
 Trevor L 	  Great time for the entire family. Definitely gets the job done of being extremely entertaining for both kids and adults. True Batman fans will have plenty of treats and Easter eggs for them to find and make the movie that much more interesting.
 Juji O 	  though slightly more directed towards kids, it doesn't cease to entertain any audience. it's a great movie for kids, I'm sure it'll be a lot of kids favorite movies, but it's nothing more than just a good movie for parents
 Andrew H 	  The first 15 minutes sums up the movie. The batman sarcasm and dry humor gets excessive without the rest of the cast from the original lego movie.
 Eric B 	  What I saw was brilliant however I probably slept through most of it. Incredible animation that pairs very well with my imagination as a kid playing legos. All Batman villains in one movie need I say more!
 Martha L 	  It was a very entertaining and hilarious movie with a good plot.
 Michael S 	  Funny movie, but not the greatest
 Mauricio P 	  Muy buen uso del humor que existe al rededor del personaje de Batman.Siendo una pelcula Lego, es an as una de las mejores obras de DC Comics en mi opinin.
 Manny R 	  Saw this movie 2 times its a funny and good movie
 PJ K 	  Well, not nearly as entertaining as the first movie. The batman character focus doesn't have enough depth to sustain the storyline for the length of the movie. It's like a subplot that has been stretched into a full feature. If you walked out of the first lego move humming 'everything is awesome' you will be disappointed.
 Ryan N 	  It was entertaining, but a lot of the comedy fell flat and seemed off. Lego Movie was definitely way better.
 Lucas B. S 	  I hope that the others Lego Movies don't be like that... ;(
 Edgar L 	  I loved it but not as good as the first Lego Movie
 Edward J 	  The LEGO Batman Movie is a wonderfully animated, smart, sharp, savage parody/satire of one of comics most beloved characters, his cinematic adaptations, and even his position in the cultural landscape. I know I'll be in the minority, but The LEGO Batman Movie is the best Batman movie since '89, or even the animated Mask of the Phantasm.
 Joseph J 	  i really do not like lego, you could definately tell that it was STOP MOTION
 Elias O 	  Genuinely funny. Doesn't try to be anything its not.
 Caroline L 	  One of the funniest kid movies I've seen. Love the humor!!
 Moore S 	  Nowhere near the original Lego movie. Yes, it is still very entertaining. However, most of the things that made the original film special, including the script and the soundtrack were entirely dismissed in this one. It's a one-time screening for me.
 Sulley I 	  OMG!!! this movie is so funny i watch it in michigan for vacation it was so fun to watch and i just sat there laughing the hole time
 Matt G 	  Lego Movie was a brilliant meta-commentary on childlike creativity. Lego Batman has less commentary, but is more just a straight product of that innovation, heavy on silly jokes and nerd references ("What am I gonna do? Get a bunch of criminals to fight the criminals? That's a stupid idea.") It's not the best Batman MOVIE, but it's quite possibly the most in-depth characterization of the Batman character. Even in the better iterations, he's a relatively flat character...not here. Not only is he hilarious, but he evolves.
 Bryce W 	  Funny, sweet and awesome.
 katie d 	  It is a really funny movie
 Cam P 	  Holy balls if ur a retard looking for some retarded thing to do then wank off to this atrocious BS. It's time to stop
 Brecken H 	  I loved it, even though I thought it would be too silly for me. It did a great job being very true to Batman, all the while making fun of everything super.
 Malikah T 	  My 9 year old son enjoyed it so I guess it was good. Lol
 Scott D 	  excellent fun fill movie
 Ravindra P 	  Kind of boring -- almost fell asleep one time! Too much of the Batman voice!
 Samuel%20 W 	  The Lego Batman Movie gives a Nostalgic yet entertaining comedic overflow to this franchise.
 Brandon W 	  Talk about a movie that started out as completely awesome, and not being able to hold on. The Lego Movie that came out three years ago worked extremely well because it appealed to both kids and adults. Kids were able to enjoy the bright colors, the action and some of the comedy while there were lots of jokes that adults could enjoy too. That was the tone throughout the entire film. The Lego Batman Movie, however, feels like it was split into two separate films. The first half was made for Batman fans. Not just any Batman fan, the ones who grew up on the Michael Keaton, Val Kilmer and George Clooney days of Batman. References here and there and all with great jokes. Then when the movie got going, you could tell that the writers were making this film for children. It was still enjoyable sure, but I just wish that the level of comedy was consistent throughout the entire film. Not having the first half made for the old school Batman fans and the second half just made for any kid under the age of 9. The messages seemed extremely forced and ultimately, it failed to keep me on the same level of interest as it did from the beginning. It started to lose me along the way. Overall, this is a great Batman film to show kids. I call it a "bridge-the-gap" movie. For kids that may not be old enough to watch a Batman movie with a Jack Nicholson Joker or a Heath Ledger Joker, Zach Galifianakis's Joker is a nice alternative for younger eyes. I believe that if I had a son, this would be a great film to take him to because he could enjoy it and I could introduce him to the world of Batman in a kid-friendly way. By this review, it may seem like I didn't this movie. I do, it's just not 91% good. Maybe a 75% good.
